attribution,author_profile,authors,category,chapter,class-lesson,class-order,comments,course,dateCreated,description,difficulty,estimated-time,excerpt,header1,lang-lib,layout,modified,module,module-description,module-nav-title,module-title,module-type,nav-title,odule-type,order,output,overview-order,permalink,prerequisites,redirect_from,sidebar,tags,title,topics,week,week-landing
,False,"['Leah Wasser', 'Software Carpentry']",['courses'],,['setup-r-rstudio'],,True,earth-analytics,2016-12-12,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives
At the end of this activity, you will be able to:

* Create an easy to use and well structured project structure.
* Set a working directory in `R` using code.
* Set a working directory using the `RStudio` interface.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need the most current version of `R` and, preferably, `RStudio` loaded on
your computer to complete this tutorial.

* [How to set up R / RStudio](/courses/earth-analytics/document-your-science/setup-r-rstudio/)",,,Learn how to create a well-organized working directory to store your course data.,,,single,2019-09-03,,,,,,Set up working directory,,5,,,courses/earth-analytics/document-your-science/setup-working-directory/,"You will need the most current version of `R` and, preferably, `RStudio` loaded on
your computer to complete this tutorial.

* [How to set up R / RStudio](/courses/earth-analytics/document-your-science/setup-r-rstudio/)",,"{""nav"": null}",,Create a Project & Working Directory Setup,"{""reproducible-science-and-programming"": [""data-management"", ""RStudio""]}",1,
,False,"['Leah Wasser', 'NEON Data Skills']",['courses'],,['co-floods-1-intro'],1,True,earth-analytics,2016-12-06,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives
At the end of this activity, you will be able to:

* Use the timeline function in Google Earth to view time series imagery data.
* Identify and describe a driver and an impact of a flood event.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need to download and install Google Earth on your computer and then
download the `.kml` file below.

<a href=""https://www.google.com/earth/download/gep/agree.html"" target=""_blank"" class=""btn btn-success btn--x-large"">
Get Google Earth</a>

<a href=""https://ndownloader.figshare.com/files/7005404"" class=""btn btn-success btn--x-large"">
<i class=""fa fa-download"" aria-hidden=""true""></i> Download .kmz file - Locations of Change</a>",intermediate,1 hour,Learn how to use the time series feature in Google Earth to view before / after images of a location.,,,single,2020-03-30,,"This module uses time series data to explore the impacts of a flood. Learn how to use Google Earth imagery, NOAA precipitation data and USGS stream flow data to explore the 2013 Colorado floods.",Use data for science,Understand Disturbance with Data - Flooding and Erosion,class,Google Earth Time Series,,1,,,/courses/earth-analytics/document-your-science/google-earth-time-series/,"You will need to download and install Google Earth on your computer and then
download the `.kml` file below.

<a href=""https://www.google.com/earth/download/gep/agree.html"" target=""_blank"" class=""btn btn-success btn--x-large"">
Get Google Earth</a>

<a href=""https://ndownloader.figshare.com/files/7005404"" class=""btn btn-success btn--x-large"">
<i class=""fa fa-download"" aria-hidden=""true""></i> Download .kmz file - Locations of Change</a>",,"{""nav"": null}",,Use Google Earth Time Series Images to Explore Flood Impacts,"{""remote-sensing"": [""multispectral-remote-sensing""], ""earth-science"": [""flood-erosion""], ""time-series"": null}",1,
,False,['Leah Wasser'],['courses'],,['co-floods-1-intro'],,True,earth-analytics,,"'notice--success' markdown='1'>

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* List some of the components of a project that make it more easily reusable
(reproducible) to you when working with other people.


## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this activity.",,,Learn why documentation is important when analyzing data by evaluating someone elses report on the Colorado floods.,,,single,2019-09-03,,,,,,Data Driven Report,,2,,,/courses/earth-analytics/document-your-science/data-driven-reports/,You will need a computer with internet access to complete this activity.,,"{""nav"": null}",,Work With Precipitation Data in R: 2013 Colorado Floods,"{""earth-science"": [""flood-erosion""], ""time-series"": null}",1,
,False,"['Leah Wasser', 'NEON Data Skills']",['courses'],,['co-floods-1-intro'],,True,earth-analytics,2016-12-29,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives
At the end of this activity, you will be able to:

* Describe two related drivers of a flood event.
* Interpret plots containing time series data related to flood drivers.


## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You need a computer with internet to complete this lesson.",,,Practice interpreting data on plots that show rainfall (precipitation) and stream flow (discharge) as it changes over time. ,,,single,2019-09-03,,"This module introduces the concept of using data to Understand a natural phenomenon. Here, you use a combination of NOAA precipitation data and USGS stream flow data to begin to understand the factors associated with a flood. No technical experience is needed to complete this activity.",,Understanding Disturbance With Data - Flooding & Erosion,,Interactive Data Plots,,3,,,/courses/earth-analytics/document-your-science/precip-discharge/,You need a computer with internet to complete this lesson.,,"{""nav"": null}",,Explore Precipitation and Stream Flow Data Using Interactive Plots: The 2013 Colorado Floods ,"{""earth-science"": [""flood-erosion""], ""time-series"": null}",1,
,False,"['Leah Wasser', 'NEON Data Skills']",['courses'],,['intro-rmarkdown-knitr'],3,True,earth-analytics,2016-12-12,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives
At the end of this activity, you will be able to:

* List benefits of using `R Markdown` to create reports.
* Explain how R Markdown is a useful tool in Open Science approaches.
* Explain one way that `R Markdown` can benefit your research.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

Before you start this tutorial, be sure that you have R and R studio set up on
your computer. Also we recommend that you have an `earth-analytics` directory
set up on your computer with a `/data` directory with it. Follow the links below
for help getting `R`, `RStudio` and your data directory set up.

* [How to set up R / RStudio](/courses/earth-analytics/document-your-science/setup-r-rstudio/)
* [Set up your working directory](/courses/earth-analytics/document-your-science/setup-working-directory/)",intermediate,2-3 hours,Learn what open science is and how R Markdown can help you document your work.,,,single,2020-03-30,,"This module reviews how to use R Markdown and knitr to create and publish dynamic reports that both link analysis, results and documentation and can be easily updated as data and methods are modified / updates.",R Markdown Intro,"Link data, processing and results using R Markdown and knitr",class,Why open science,,1,,,/courses/earth-analytics/document-your-science/about-open-science-and-why-open-science-is-important/,"Before you start this tutorial, be sure that you have R and R studio set up on
your computer. Also we recommend that you have an `earth-analytics` directory
set up on your computer with a `/data` directory with it. Follow the links below
for help getting `R`, `RStudio` and your data directory set up.

* [How to set up R / RStudio](/courses/earth-analytics/document-your-science/setup-r-rstudio/)
* [Set up your working directory](/courses/earth-analytics/document-your-science/setup-working-directory/)",,"{""nav"": null}",,"Introduction to R Markdown & Knitr - Connect Data, Methods and Results","{""reproducible-science-and-programming"": [""rmarkdown""]}",1,
,False,"['Leah Wasser', 'NEON Data Skills']",['courses'],,['intro-rmarkdown-knitr'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives
At the end of this activity, you will:

* Know how to create an `R Markdown` file in `RStudio`.
* Be able to write a script with text and `R` code chunks.
* Create an `R Markdown` document ready to be 'knit' into an `html` document to
share your code and results.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need the most current version of `R` and, preferably, `RStudio` loaded on
your computer to complete this tutorial.

### Install R Packages

* **knitr:** `install.packages(""knitr"")`
* **rmarkdown:** `install.packages(""rmarkdown"")`",,,"Learn about the format of a R Markdown file including a YAML header, R code and markdown formatted text.",,,single,2019-09-03,,,,,,Create R Markdown File,,2,,,/courses/earth-analytics/document-your-science/intro-to-the-rmarkdown-format-and-knitr/,"You will need the most current version of `R` and, preferably, `RStudio` loaded on
your computer to complete this tutorial.

### Install R Packages

* **knitr:** `install.packages(""knitr"")`
* **rmarkdown:** `install.packages(""rmarkdown"")`",,"{""nav"": null}",,How to create an R Markdown File in R Studio and the R Markdown File Structure,"{""reproducible-science-and-programming"": [""rmarkdown""]}",1,
,False,"['Leah Wasser', 'NEON Data Skills']",['courses'],,['intro-rmarkdown-knitr'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives
At the end of this activity, you will be able to:

* Use basic markdown syntax to format a document including: headers, bold and italics.
* Explain what the markdown format is.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need the most current version of `R` and, preferably, `RStudio` loaded on
your computer to complete this tutorial.",,,Learn how to write using the markdown syntax in an R Markdown document.,,,single,2019-09-03,,,,,,Intro to Markdown,,3,,,/courses/earth-analytics/document-your-science/intro-to-markdown/,"You will need the most current version of `R` and, preferably, `RStudio` loaded on
your computer to complete this tutorial.",,"{""nav"": null}",,Introduction to Markdown Syntax - a Primer,"{""reproducible-science-and-programming"": [""rmarkdown""]}",1,
,False,"['Leah Wasser', 'NEON Data Skills']",['courses'],,['intro-rmarkdown-knitr'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives
At the end of this activity, you will:

* Be able to add code to a code chunk in an `.Rmd` file.
* Be able to add options to a code chunk in `RStudio`.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need the most current version of `R` and, preferably, `RStudio` loaded on
your computer to complete this tutorial.

### Install R Packages

* **knitr:** `install.packages(""knitr"")`
* **rmarkdown:** `install.packages(""rmarkdown"")`",,,Code chunks in an R Markdown document are used to separate code from text in a Rmd file. Learn how to create reports using R Markdown.,,,single,2019-09-03,,,,,,Code chunks,,4,,,/courses/earth-analytics/document-your-science/rmarkdown-code-chunks-comments-knitr/,"You will need the most current version of `R` and, preferably, `RStudio` loaded on
your computer to complete this tutorial.

### Install R Packages

* **knitr:** `install.packages(""knitr"")`
* **rmarkdown:** `install.packages(""rmarkdown"")`",['/course-materials/earth-analytics/week-1/rmarkdown-code-chunks-comments-knitr/'],"{""nav"": null}",,How to Use R Markdown Code Chunks,"{""reproducible-science-and-programming"": [""rmarkdown""]}",1,
,False,"['Leah Wasser', 'NEON Data Skills']",['courses'],,['intro-rmarkdown-knitr'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

At the end of this lesson, you will:

* Be able to produce (`knit`) an `html` file from an `R Markdown` file.
* Know how to modify chuck options to change what is rendered and not rendered on the output `html` file.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need the most current version of `R` and, preferably, `RStudio` loaded on
your computer to complete this tutorial. You will also need an `R Markdown`
document that contains a `YAML` header, code chunks and markdown segments.

<a href=""https://ndownloader.figshare.com/files/7010681"" class=""btn btn-success btn--x-large"">
<i class=""fa fa-download"" aria-hidden=""true""></i> Download lesson data</a>

### Install R Packages

* **knitr:** `install.packages(""knitr"")`
* **rmarkdown:** `install.packages(""rmarkdown"")`",,,"Knitr can be used to convert R Markdown files to different formats, including web friendly formats. Learn how to convert R Markdown to PDF or HTML in RStudio.",,,single,2019-09-03,,,,,,Convert R Markdown to PDF or HTML,,5,,,/courses/earth-analytics/document-your-science/knit-rmarkdown-document-to-pdf/,"You will need the most current version of `R` and, preferably, `RStudio` loaded on
your computer to complete this tutorial. You will also need an `R Markdown`
document that contains a `YAML` header, code chunks and markdown segments.

<a href=""https://ndownloader.figshare.com/files/7010681"" class=""btn btn-success btn--x-large"">
<i class=""fa fa-download"" aria-hidden=""true""></i> Download lesson data</a>

### Install R Packages

* **knitr:** `install.packages(""knitr"")`
* **rmarkdown:** `install.packages(""rmarkdown"")`",['/course-materials/earth-analytics/week-1/knit-rmarkdown-document-to-pdf/'],"{""nav"": null}",,Convert R Markdown to PDF or HTML,"{""reproducible-science-and-programming"": [""rmarkdown""]}",1,
,False,['Leah Wasser'],['courses'],,['intro-rmarkdown-knitr'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Add an image to an `R markdown` report.
* Describe the ideal location to store an image associated with an `R markdown` report
so that `knitr` can find it when it renders a file.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You need `R` and `RStudio` to complete this tutorial. Also you should have
an `earth-analytics` directory set up on your computer with a `/data`
directory with it.

* [How to set up R / RStudio](/courses/earth-analytics/document-your-science/setup-r-rstudio/)
* [Set up your working directory](/courses/earth-analytics/document-your-science/setup-working-directory/)",,,This lesson covers how to use markdown to add images to a report. It also discusses good file management practices associated with saving images within your project directory to avoid losing them if you have to go back and work on the report in the future.,,,single,2019-09-03,,,,,,Add images to R Markdown,,6,,,/courses/earth-analytics/document-your-science/add-images-to-rmarkdown-report/,"You need `R` and `RStudio` to complete this tutorial. Also you should have
an `earth-analytics` directory set up on your computer with a `/data`
directory with it.

* [How to set up R / RStudio](/courses/earth-analytics/document-your-science/setup-r-rstudio/)
* [Set up your working directory](/courses/earth-analytics/document-your-science/setup-working-directory/)",,"{""nav"": null}",,Add Images to an R Markdown Report,"{""reproducible-science-and-programming"": [""rmarkdown""]}",1,
