course_number_title,course_description
12.116 Analysis of Geologic Data,"Includes in-depth laboratory analysis of samples, interpretation of geological data, and where possible, geophysical and geochemical data. Includes the preparation of reports based on the field studies conducted in12.115during January; report generally exceeds 30 pages in length and includes one major revision and rewrite. Instruction in writing techniques provided. Contact department regarding travel fee and resources for funding opportunities. Satisfies 3 units of Institute Laboratory credit."
12.117A Field Geobiology I,"Examines basic biological processes that operate in sediments. Lectures cover biological, physical and chemical processes that influence the formation and stabilization of sediments, including biomineralization, weathering, erosion, the formation of sedimentary structures and interactions with sediments, flow, and the cycles of nutrients. Lab covers analytical methods used to examine microbial processes, bioinformatic methods used to analyze microbial communities, and techniques used to analyze sediment grain sizes and chemistry. Readings and discussions provide preparation for the12.117Bfield trip to a modern sedimentary environment. Enables students to interpret processes in modern sedimentary environments, reconstruct similar processes in the rock record, collect appropriate samples in the field, and analyze microbiological data. Students taking graduate version complete additional assignments."
12.117B Field Geobiology II,"Teaches fundamentals of field observations and reasoning in geobiology/sedimentology during a required trip to a modern sedimentary environment over spring break, followed by laboratory analyses of collected samples. Students make observations, develop hypotheses, collect samples required to test their hypotheses and interact with lecturers and students investigating the sedimentology of the site. Upon return to MIT, students work on field samples to characterize the sediments, use the preliminary data to develop an understanding of the field site, and write research reports. Students taking graduate version write proposals that present a research question based on the field observations and subsequent analyses. Meets with12.110Band12.465Bwhen those subjects examine modern sedimentary environments."
12.119 Harnessing Power from Environmental Microbes and Chemical Gradients,"Provides practical instruction on how to make living batteries. Lectures cover the basics of marine and freshwater chemistry and biogeochemistry (pH, redox potential, organic loading, free energy for growth, chemical profiles, sampling and measurement methods). Students explore sediment biogeochemistry by analyzing mineral types and grain sizes, setting up microbial enrichment cultures, and sampling and characterizing microbes and environmental chemistry by microscopy, chemical assays of pore fluids, and bioinformatics tools. Subsequent lab activities teach students to develop and use electrochemical tools to build microbial batteries that can power light sources and instruments. Discussion and reading cover real-world applications of microbial fuel cells."
"12.12 Nature's Sandbox: The History of Ancient Environments, Climate, and Life","Series of field adventures to survey Earth's history and landscape through a combination of online and in-person instruction, with virtual field trips to Svalbard, Norway, the Death Valley area and Northern Minnesota. In these key sites, students explore the interactions between Earth's surface environments and life, and critical transitions in each. Includes weekly in-class paper discussions and experiential exercises. Three optional one-day field trips provide opportunity to explore the amazing sedimentary record preserved close to MIT. Subject can count toward the 6-unit discovery-focused credit limit for first year students."
12.141 Electron Microprobe Analysis,"Introduction to the theory of x-ray microanalysis through the electron microprobe including ZAF matrix corrections. Techniques to be discussed are wavelength and energy dispersive spectrometry, scanning backscattered electron, secondary electron, cathodoluminescence, and x-ray imaging. Lab sessions involve use of the electron microprobe."
12.158 Molecular Biogeochemistry,"Covers all aspects of molecular biosignatures, such as their pathways of lipid biosynthesis, the distribution patterns of lipid biosynthetic pathways with regard to phylogeny and physiology, isotopic contents, occurrence in modern organisms and environments, diagenetic pathways, analytical techniques and the occurrence of molecular fossils through the geological record. Students analyze in depth the recent literature on chemical fossils. Lectures provide background on the subject matter. Basic knowledge of organic chemistry required. Students taking graduate version complete additional assignments."
12.163 Geomorphology,"Quantitative examination of processes that shape Earth's surface. Introduction to fluvial, hillslope, and glacial mechanics. Essentials of weathering, soil formation, runoff, erosion, slope stability, sediment transport, and river morphology. Landscape evolution in response to climatic and tectonic forcing. Application of terrestrial theory to planetary surfaces. Additional instruction in geographic information systems (GIS) and remote sensing analysis, field measurement techniques, and numerical modeling of surface processes. Students taking the graduate version complete different assignments."
12.170 Essentials of Geology,"Studies the geology of planetary interiors and surfaces, including plate tectonics, as a unifying theory of terrestrial geology, surface processes, and the Earth's interior. Covers igneous, metamorphic, and sedimentary processes associated with tectonic settings and the typical rock suites created; mineral and rock identification; and causes of compositional differences on many scales (mineral grains, rocks, regions of the Earth, different planets). Also addresses conditions required for melting and melting processes; rock structure and field techniques; and Earth history. Treatment of these topics includes discussions of the geochemical, petrologic, geochronological, experimental, or field techniques used to investigate them; the limitations of current geological techniques and geological controversies; and major geological expeditions, experiments, and studies from the past, along with their premises and results. Students taking graduate version complete additional assignments."
"12.177 Astrobiology, Origins and Early Evolution of Life","Provides an understanding of major areas of research into the problem of the origin of life on the early Earth from an astrobiological perspective. Topics include the timing, setting and conditions for the origin of life on the Hadean Earth; roles of planetary and extra-planetary processes; defining life; prebiotic chemistry; origins of nucleic acids and peptides; evolution of cellularity, replication, metabolism, and translation; establishment of the genetic code; biogenesis vs. ecogenesis; the nature of the last common ancestor of life; conceptualizing the ""tree of life;"" and the early evolution of the ancestors of bacteria, archaeal, and eukaryal lineages. Students taking graduate version complete an extra project."
12.178 The Phylogenomic Planetary Record,"Introduces the tools of sequence-based phylogenetic analysis and molecular evolution in the context of studying events in Earth's deep past that have been preserved by genomes. Topics include basic concepts of cladistics, phylogeny and sequence evolution, construction of phylogenetic trees of genes and microbial lineages, molecular clocks, dating, and ancestral sequence reconstruction. Special attention to the evolutionary history of microbial metabolisms and their relationship to global biogeochemical cycles across Earth's history. Students taking graduate version complete additional assignments."
12.201 Essentials of Global Geophysics,"Overview of basic topics in solid-earth geophysics, such as the Earth's rotation, gravity and magnetic field, seismology, and thermal structure. Formulation of physical principles presented in three one-hour lectures per week. Current applications discussed in an additional one-hour tutorial each week. Students taking graduate version complete different assignments."
"12.202 Flow, Deformation, and Fracture in Earth and Other Terrestrial Bodies","Covers fundamentals of deformation and fracture of solids and the flow of viscous fluids. Explores spatial scales from molecular to planetary, and time scales from fractions of a second to millions of years, to understand how and why natural materials on Earth and other terrestrial bodies respond to applied forces. Fundamental concepts include the principles of continuum mechanics, tensor representation of physical properties, forces, tractions, stresses, strain theory, elasticity, contact problems, fracture and friction, and viscous flow and rheological models (plasticity, viscosity, viscoelasticity, elasto-plasticity). Students gather, analyze and interpret data using existing theoretical models. Includes a significant laboratory component that provides practical experience with experimental measurements and tests students' acquired theoretical knowledge. Students taking graduate version complete different assignments."
12.203 Mechanics of Earth,"Covers topics in the deformation and fracture of solids and the flow of viscous fluids. Explores spatial scales from molecular to planetary, and time scales from fractions of a second to millions of years, to understand how and why natural materials on Earth and other terrestrial bodies respond to applied forces. Introduces anelasticity, granular mechanics, poroelasticity, rate-and-state friction, transport properties of Earth materials (Darcy's law, Fick's law), brittle-ductile transitions, creep of polycrystalline materials, stored energy and dissipation, and convection. Prepares students to gather, analyze and interpret data using existing theoretical models. Through a significant laboratory component, students obtain practical experience with experimental measurements and test their acquired theoretical knowledge. Students taking graduate version complete different assignments."
12.207[J] Nonlinear Dynamics: Continuum Systems,See description under subject18.354[J].
12.211 Field Geophysics (New),"Covers practical methods of modern geophysics, including the global positioning system (GPS), gravity, and magnetics. Field work is conducted in western US and includes intensive 10-day field exercise. Focuses on measurement techniques and their interpretation. Introduces the science of gravity, magnetics, and the GPS. Measures crustal structure, fault motions, tectonic deformations, and the local gravity and magnetic fields. Students perform high-precision measurements and participate in data analysis. Emphasizes principles of geophysical data collection and the relevance of these data for tectonic faulting, crustal structure, and the dynamics of the earthquake cycle. Students taking graduate version complete additional assignments."
12.213 Alternate Energy Sources,"Explores a number of alternative energy sources such as geothermal energy (heat from the Earth's interior), wind, natural gas, and solar energy. Includes a field trip to visit sites where alternative energy is being harvested or generated. Content and focus of subject varies from year to year."
12.214 Essentials of Field Geophysics,"Introduces students to the practical field application of various geophysical methods to studying Earth's near-surface and prepares students to undertake fieldwork that uses these methods. Methods covered include but are not limited to measuring seismic waves, gravity, precise positions (commonly referred to as GPS but formally known as GNSS), and topography using drones. Lab time involves local fieldwork to gain experience with the methods being taught. Students taking graduate version complete additional assignments."
12.300[J] Global Change Science,See description under subject1.071[J].
12.301 Climate Science,"Introduction to climate studies, including beginnings of the solar system, time scales, and climate in human history; methods for detecting climate change, including proxies, ice cores, instrumental records, and time series analysis; physical and chemical processes in climate, including primordial atmosphere, ozone chemistry, carbon and oxygen cycles, and heat and water budgets; internal feedback mechanisms, including ice, aerosols, water vapor, clouds, and ocean circulation; climate forcing, including orbital variations, volcanism, plate tectonics, and solar variability; climate models and mechanisms of variability, including energy balance, coupled models, and global ocean and atmosphere models; and outstanding problems. Students taking the graduate version complete different assignments."
12.306 Atmospheric Physics and Chemistry,"Introduction to the physics and chemistry of the atmosphere including experience with computer codes. Aerosols and theories of their formation, evolution, and removal. Gas and aerosol transport from urban to continental scales. Coupled models of radiation, transport, and chemistry. Solution of inverse problems to deduce emissions and removal rates. Emissions control technology and costs. Applications to air pollution and climate. Students taking the graduate version complete different assignments."
12.307 Weather and Climate Laboratory,"Engages students in projects involving rotating tank laboratory experiments, analysis of data on the sphere, and report writing and presentation. Project themes explore fundamentals of climate science and make contact points with major contemporary environmental challenges facing mankind. Examples include heat and moisture transport in the atmosphere; weather and weather extremes; aerosols, dust, and atmospheric pollution; ocean circulation and transport and plastics in the ocean. Develops skills for how to deal with noisy, imperfect data. Provides instruction and practice in written and oral communication."
12.310 An Introduction to Weather Forecasting,Basic principles of synoptic meteorology and weather forecasting. Analysis of hourly weather data and numerical weather prediction models. Regular preparation of weather forecasts.
12.315 Atmospheric Radiation and Convection,"Introduction to the physics of atmospheric radiation, remote sensing, and convection, including use of computer codes. Radiative transfer equation including emission and scattering, spectroscopy, Mie theory, and numerical solutions. Physics of dry and moist convection, including moist thermodynamics. Radiative-convective equilibrium. Solution of inverse problems in remote sensing of atmospheric temperature and composition. Students taking graduate version complete different assignments."
12.318 Introduction to Atmospheric Data and Large-scale Dynamics,"Provides a general introduction to meteorological data and analysis techniques, and their use in the MIT Synoptic Laboratory to study the phenomenology and dynamics of large-scale atmospheric flow. Illustrates balance concepts as applied to the dynamics of frontal and synoptic scales, using real-time upper-air and surface station data and gridded analyzed fields. Uses advanced meteorological software packages to access, manipulate, and graphically display the data. Students taking graduate version complete different assignments."
12.320A[J] Introduction to Hydrology and Water Resources,See description under subject1.070A[J].
12.320B[J] Introduction to Hydrology Modeling,See description under subject1.070B[J].
12.330[J] Fluid Physics,See description under subject8.292[J].
12.335 Experimental Atmospheric Chemistry,"Introduces the atmospheric chemistry involved in climate change, air pollution, and ozone depletion using a combination of interactive laboratory and field studies and simple computer models. Uses instruments for trace gas and aerosol measurements and methods for inferring fundamental information from these measurements. Provides instruction and practice in written and oral communication. Students taking the graduate version complete different assignments."
12.336[J] Air Pollution and Atmospheric Chemistry,See description under subject1.085[J]. Recommended for upper-level undergraduate students.
12.338 Aerosol and Cloud Microphysics and Chemistry,"Focuses on understanding how aerosol particles form droplets or ice crystals during several atmospheric processes: determining Earth's radiative balance; heterogeneous chemistry and acid rain; understanding where, when and how much precipitation occurs. Provides tools for understanding the physics of aerosol and cloud element motion; the interaction of particles with water vapor, including phase changes and droplet and ice nucleation; the chemical composition of particles and the effect on cloud formation processes; and the effect of cloud processing on aerosol chemistry. Discusses relevant topics of contemporary interest, e.g., geoengineering and weather modification and volcanic effects. Students taking the graduate version complete different assignments."
12.346[J] Global Environmental Negotiations,See description under subjectIDS.062[J].
"12.348[J] Global Climate Change: Economics, Science, and Policy",See description under subject15.026[J].
12.349 Mechanisms and Models of the Global Carbon Cycle,"Addresses changes in the ocean, terrestrial biosphere and rocks modulation of atmospheric carbon dioxide on timescales from months to millions of years. Includes feedbacks between carbon cycle and climate. Combines hands-on data analysis with the formulation of simple models rooted in basic physical, chemical and biological principles. Students create individual ""toy"" global carbon cycle models. Students taking graduate version complete different assignments."
12.372 Elements of Modern Oceanography,"Examines a series of crosscutting topics that exemplify current directions in interdisciplinary oceanography. Focuses on current themes in oceanography, their interdisciplinary nature, and the role of ocean sciences in society. Introduces core concepts across the disciplines of biological, physical, and chemical oceanography as well as marine geology. Emphasizes the interdisciplinary aspects of these core concepts, the kinds of approaches and modes of thinking common to all of the disciplines, and the technological developments underpinning current advances. Students taking graduate version complete different assignments."
12.373 Field Oceanography,"Provides an introduction to the biogeochemistry of the ocean, and the field techniques and methods used in its study. Emphasizes biogeochemistry and the interrelated nature of elemental cycling, but also examines physical transport and air-sea gas exchange. Covers multiple aspects related to field instrumentation and measurements, including nutrients, oxygen, the carbon system, temperature, and salinity. Presents microbial analyses, such as metagenomics. Includes a mandatory spring break field trip aboard a research vessel; opportunities for funded travel available. Students work in groups to propose a project over the week-long voyage that utilizes the field time to collect samples. During the second half of the term, students analyze and synthesize the data, and present it in a publication-quality manuscript. Students taking graduate version complete additional assignments. Enrollment limited."
12.377 The History of Earth's Climate,"Studies the climate history of the Earth, from the formation of the early atmosphere and ocean to the present. Evaluates geochemical, sedimentological, and paleontological evidence for changes in ocean circulation, global temperatures, and atmospheric carbon dioxide levels. Covers theories and models of Phanerozoic climate change. Provides a long-term history of the global carbon cycle. Students taking graduate version complete different assignments."
12.384[J] Living Dangerously: Environmental Problems from 1900 to Today,"Historical overview of the interactions between people and their environments in the past 100 years. Focuses on the accelerating human impact on Earth, starting in the late 19th century and continuing to the present day. Covers case studies showing how people have become aware of their impacts on the environment, and, in turn, the environment's impacts upon human society and what humans have done to mitigate damages. Topics include: food safety and security, industrial agriculture, pesticides, nuclear energy and warfare, lead, smog, ozone depletion, and climate change. Limited to 18."
"12.385 Science, Politics, and Environmental Policy","Examines the role of science in US and international environmental policymaking. Surveys the methods by which scientists learn about the natural world; the treatment of science by experts, advocates, the media, and the public and the way science is used in legislative, administrative and judicial decision making. Through lectures, group discussions, and written essays, students develop a critical understanding of the role of science in environmental policy. Potential case studies include fisheries management, ozone depletion, global warming, smog, and endangered species. Students taking the graduate version complete different assignments."
12.386[J] Environment and History,See description under subject21H.185[J]. Enrollment limited.
12.387[J] People and the Planet: Environmental Governance and Science,"Introduces governance and science aspects of complex environmental problems and approaches to solutions. Introduces quantitative analyses and methodological tools to analyze environmental issues that have human and natural components. Demonstrates concepts through a series of in-depth case studies of environmental governance and science problems. Students develop writing, quantitative modeling, and analytical skills in assessing environmental systems problems and developing solutions. Through experiential activities, such as modeling and policy exercises, students engage with the challenges and possibilities of governance in complex, interacting systems, including biogeophysical processes and societal and stakeholder interactions."
12.390 Fluid Dynamics of the Atmosphere and Ocean,"Introduction to fluid dynamics. Students acquire an understanding of some of the basic concepts of fluid dynamics that are needed as a foundation for advanced coursework in atmospheric science, physical oceanography, ocean engineering, climate science, etc. Emphasizes fluid fundamentals, with an atmosphere/ocean twist. Students taking graduate version complete additional assignments."
"12.391 Current Topics in Earth, Atmospheric and Planetary Sciences","Laboratory or field work in earth, atmospheric, and planetary sciences. Consult with department Education Office."
"12.396[J] Leadership and Professional Strategies & Skills Training (LEAPS), Part I: Advancing Your Professional Strategies and Skills",See description under subject8.396[J]. Limited to 80.
"12.397[J] Leadership and Professional Strategies & Skills Training (LEAPS), Part II: Developing Your Leadership Competencies",See description under subject8.397[J]. Limited to 80.
12.400 Our Space Odyssey,"Traces historical and scientific advancement of our understanding of Earth's cosmic context. Introduces basic physical principles by which planets form and create their associated features of rings, satellites, diverse landscapes, atmospheres, and climates. Includes the physics of asteroids and comets and their orbital characteristics and links to meteorites. Considers one of the most fundamental questions - whether or not we are alone - by detailing the scientific exploration goals to be achieved at the Moon, Mars, and beyond."
12.402[J] Introduction to Astronomy,See description under subject8.282[J].
12.409 Hands-On Astronomy: Observing Stars and Planets,"Background for, and techniques of, visual observation and electronic imaging of the Moon, planets, satellites, stars, and brighter deep-space objects. Weekly outdoor observing sessions using 8-inch diameter telescopes when weather permits. Indoor sessions introduce skills necessary for observation. Introduction to contemporary observational astronomy including astronomical computing, image and data processing, and how astronomers work. Student must maintain a careful and complete written log which is graded. Consumes an entire evening each week; 100% attendance at observing sessions required to pass. Enrollment limited; priority to first-year students."
12.410[J] Observational Techniques of Optical Astronomy,"Fundamental physical and optical principles used for astronomical measurements at visible wavelengths and practical methods of astronomical observations. Topics: astronomical coordinates, time, optics, telescopes, photon counting, signal-to-noise ratios, data analysis (including least-squares model fitting), limitations imposed by the Earth's atmosphere on optical observations, CCD detectors, photometry, spectroscopy, astrometry, and time variability. Project at Wallace Astrophysical Observatory. Written and oral project reports. Limited to 18; preference to Course 8 and Course 12 majors and minors."
12.411 Astronomy Field Camp,"Individual research projects in planetary science and astrophysics, involving supervised work at Teide Observatory on the island of Tenerife, Spain. Projects may include observations made using observatory telescope facilities. Project topics and objectives vary from year to year. Written and oral reports required. Limited to 6."
"12.412 Meteorites, Cosmochemistry, and Solar System Formation (New)","A broad introduction to cosmochemistry, the study of the solar system formation from a geochemical perspective. Examines how the current meteorite records are used to gain information on the processes that happened in the early solar system. Topics include the origin of elements and isotopes, chemical fractionations of them during different processes, meteorite records, pre-solar grains, cosmochemical models for the solar system formation, chronology of planetary bodies from radioactive isotopes, and analytical techniques commonly used in cosmochemistry. Students taking graduate version complete additional assignments."
12.420 Essentials of Planetary Science,"Advanced applications of physical and chemical principles to the study of the solar system. Topics include terrestrial and giant planets, meteorites, asteroids, comets, Kuiper belt objects, rings, impact craters, interiors, surfaces, atmospheres, geomagnetism, cosmochemistry, remote sensing, formation and evolution of the solar system."
12.421 Physical Principles of Remote Sensing,"Introduction to the physics of remote sensing with applications to the study of the Earth, Moon, planets and other solar system bodies, as well as to emerging fields, such as autonomous navigation. Includes the principles of optical, thermal, radar and lidar remote sensing. Covers fundamental properties of electromagnetic waves; principles of electromagnetic scattering from real and idealized materials, including various types of surfaces and vegetation; interaction of electromagnetic radiation with the atmosphere; and thermal and microwave emission from various media. Discusses past, present, and future remote sensing platforms along with the fundamentals of orbital mechanics and data processing tools and methods. Assignments require students to write simple computer programs and plot mathematical functions. Students taking graduate version complete different assignments."
12.422 Planetary Atmospheres,"Provides a basic understanding of the physics and chemistry of planetary atmospheres. Explores the formation and evolution of atmospheres, their structure and dynamics, and what is known about their chemical composition. Pays particular attention to their energy balance. Also presents the current state of understanding of exoplanet atmospheres. Students taking graduate version complete an additional research project."
